City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hirara,24.8,125.2833,21.15,94,40,2.06,JP,1681253876
1,hermanus,-34.4187,19.2345,9.89,73,72,3.94,ZA,1681254093
2,cape town,-33.9258,18.4232,14.95,72,0,3.6,ZA,1681253924
3,rikitea,-23.1203,-134.9692,24.71,71,100,2.85,PF,1681253993
4,sitka,57.0531,-135.33,5.7,53,9,2.48,US,1681254052
5,chokurdakh,70.6333,147.9167,-21.59,90,45,1.73,RU,1681254045
6,paamiut,61.994,-49.6678,-2.21,86,96,0.83,GL,1681253877
7,berbera,10.4396,45.0143,27.67,79,5,1.99,SO,1681253877
8,bethel,41.3712,-73.414,20.93,24,100,4.96,US,1681254167
9,vaini,-21.2,-175.2,29.09,79,40,6.17,TO,1681254060
10,yellowknife,62.456,-114.3525,-6.71,73,100,3.09,CA,1681254088
11,korla,41.7597,86.1469,12.73,38,100,3.19,CN,1681254030
12,ilulissat,69.2167,-51.1,6.01,42,20,5.66,GL,1681254167
13,nortelandia,-14.4547,-56.8028,24.1,91,100,0.15,BR,1681253878
14,pevek,69.7008,170.3133,-25.63,96,93,1.81,RU,1681254121
15,mataura,-46.1927,168.8643,11.38,98,100,1.45,NZ,1681254056
16,yerbogachen,61.2767,108.0108,-3.02,95,100,6.32,RU,1681254168
17,kaitangata,-46.2817,169.8464,12.43,95,100,4.34,NZ,1681254111
18,upernavik,72.7868,-56.1549,-13.73,93,21,3.19,GL,1681254070
19,barrow,71.2906,-156.7887,-17.79,90,100,4.76,US,1681253999
20,butaritari,3.0707,172.7902,27.59,76,100,5.8,KI,1681254169
21,soyo,-6.1349,12.3689,27.05,82,100,1.88,AO,1681254169
22,saint-philippe,-21.3585,55.7679,23.77,84,8,2.6,RE,1681254045
23,nikolskoye,59.7035,30.7861,4.95,88,100,1.62,RU,1681254057
24,katsuura,35.1333,140.3,17.57,80,100,12.37,JP,1681254170
25,san quintin,30.4833,-115.95,17.32,66,0,5.48,MX,1681253880
26,oksovskiy,62.6062,39.8984,0.97,97,100,2.12,RU,1681253880
27,obihiro,42.9172,143.2044,11.67,90,100,3.89,JP,1681253880
28,busselton,-33.65,115.3333,19.92,70,38,6.87,AU,1681254043
29,hithadhoo,-0.6,73.0833,27.87,70,6,0.82,MV,1681254161
30,kuusamo,65.9667,29.1833,-3.98,93,0,0.51,FI,1681253880
31,algeciras,36.1333,-5.4505,17.82,59,3,6.69,ES,1681253880
32,podyuga,61.095,40.8647,0.31,98,100,1.56,RU,1681253881
33,albany,42.6001,-73.9662,22.23,51,100,5.81,US,1681253813
34,alice springs,-23.7,133.8833,20.75,52,94,2.57,AU,1681253881
35,sembe,1.6481,14.5806,20.78,98,100,0.98,CG,1681253881
